policy_number,previous_policy_number,policy_renewal_indicator,portability_indicator,policy_status,policy_issuance_type,policy_classification,group_policy_classification,policy_issue_date,policy_start_date,policy_end_date,cancellation_termination_date,agent_id,sales_manager_id,member_id1,member_id2,member_id3,member_id4,member_id5,sum_insured,total_policy_premium,premium_installment_type,premium_paid_till_date,policy_porting_date,policy_inclusion_date,policy_inclusion_ind,number_of_insured,minimum_possible_si,susp_policy_ind,proposer_mobile_no,policy_procurement_area,previous_sum_insured,policy_renewal_date,prev_policy_expiry_date,intermediary_type,first_policy_number,product_uin,plan_name,product_cd
POL-36043,POL-27198,Y,N,IF,S,I,,2023-08-29,2023-09-02,2024-08-31,,AG1112,SM1033,MEMBER-002664,MEMBER-001220,MEMBER-012870,MEMBER-005907,,1946867.29,80499.1,H,80499.1,,,No,4,1264500.21,No,9978315776,Urban,1638629.91,2023-09-02,2023-09-01,IND,POL-27198,UIN-819,Plan B,FAMILY_HEALTH_OPTIMA
POL-13662,,N,N,XP,S,G,N,2023-08-06,2023-08-11,2024-08-09,,AG1077,SM1005,MEMBER-006002,MEMBER-013629,MEMBER-012148,MEMBER-011924,MEMBER-010361,827385.73,27781.8,Y,27781.8,,,No,5,606462.59,No,9538514562,Rural,,,,IOC,POL-13662,UIN-108,Plan A,PERSONAL_ACCIDENT
POL-43977,,N,N,TM,S,I,,2023-11-14,2023-11-19,2024-11-17,2024-10-14,AG1194,SM1042,MEMBER-011134,,,,,542930.59,23649.68,Y,23649.68,,,No,1,285577.52,No,9936809350,Rural,,,,SPP,POL-43977,UIN-172,Plan B,GROUP_HEALTH
POL-19352,,N,N,IF,S,I,,2023-03-19,2023-03-19,2024-03-17,,AG1094,SM1013,MEMBER-006575,,,,,1469268.18,121192.22,Y,121192.22,,,No,1,1129806.32,No,9731809390,Urban,,,,IND,POL-19352,UIN-905,Plan A,PERSONAL_ACCIDENT
POL-24079,,N,N,IF,U,I,,2024-07-13,2024-07-15,2025-07-14,,AG1117,SM1049,MEMBER-008410,MEMBER-007431,MEMBER-009289,MEMBER-011461,,2436983.42,155467.59,Q,77733.79,,,No,4,1458741.4,No,9367510884,Rural,,,,IND,POL-24079,UIN-181,Plan A,IND_HEALTH
POL-26820,,N,N,IF,S,G,E,2023-06-05,2023-06-09,2024-06-07,,AG1074,SM1046,MEMBER-001295,MEMBER-005936,MEMBER-011321,,,8841642.63,825516.49,Y,825516.49,,,No,3,7061414.7,No,9966736300,Urban,,,,DIR,POL-26820,UIN-729,Plan C,TERM_LIFE
POL-49775,POL-32625,Y,N,IF,U,I,,2024-01-19,2024-01-22,2025-01-20,,AG1003,SM1028,MEMBER-010568,MEMBER-008493,MEMBER-001412,MEMBER-012789,MEMBER-007010,1532937.25,125235.96,H,125235.96,,2024-02-03,Yes,5,944663.25,No,9256622015,Rural,1747183.34,2024-01-22,2024-01-21,IND,POL-32625,UIN-960,Plan A,CRITICAL_ILLNESS
POL-32919,,N,N,IF,S,I,,2023-01-03,2023-01-06,2024-01-05,,AG1008,SM1015,MEMBER-011438,,,,,1419881.87,87900.65,Y,87900.65,,,No,1,859469.66,No,9518712740,Urban,,,,DIR,POL-32919,UIN-599,Plan B,GROUP_HEALTH
POL-17641,,N,N,IF,S,I,,2023-12-05,2023-12-10,2024-12-08,,AG1170,SM1034,MEMBER-012502,MEMBER-002506,MEMBER-002378,MEMBER-014646,,129428.62,5759.5,H,5759.5,,,No,4,76669.23,No,9489899776,Rural,,,,IND,POL-17641,UIN-871,Plan B,CRITICAL_ILLNESS
POL-20309,,N,N,IF,U,I,,2024-04-11,2024-04-12,2025-04-11,,AG1015,SM1006,MEMBER-010097,MEMBER-012463,MEMBER-012244,MEMBER-003208,MEMBER-013853,1172699.3,73888.52,Q,18472.13,,,No,5,859829.13,No,9014422810,Rural,,,,DIR,POL-20309,UIN-838,Plan C,TERM_LIFE
POL-34462,POL-35049,Y,N,CP,S,I,,2024-02-04,2024-02-05,2025-02-03,2024-02-17,AG1043,SM1040,MEMBER-002100,MEMBER-002020,,,,1098718.93,70562.11,Y,70562.11,,2025-01-01,Yes,2,851941.83,No,9528399729,Rural,1063338.71,2024-02-05,2024-02-04,SPP,POL-35049,UIN-781,Plan C,FAMILY_HEALTH_OPTIMA
POL-38533,,N,N,IF,U,I,,2023-06-09,2023-06-11,2024-06-09,,AG1185,SM1035,MEMBER-001926,,,,,106909.88,4359.04,H,4359.04,,2023-07-10,Yes,1,66738.31,No,9372717954,Urban,,,,IND,POL-38533,UIN-186,Plan C,IND_HEALTH
POL-23842,,N,N,IF,S,I,,2023-02-07,2023-02-09,2024-02-08,,AG1197,SM1042,MEMBER-014971,MEMBER-010388,MEMBER-009414,MEMBER-002236,,2480727.15,211192.94,Y,211192.94,,,No,4,1934247.63,No,9411229999,Urban,,,,IND,POL-23842,UIN-825,Plan B,TERM_LIFE
POL-45787,POL-21043,Y,N,IF,S,I,,2024-02-12,2024-02-15,2025-02-13,,AG1033,SM1001,MEMBER-000316,MEMBER-005626,MEMBER-009285,MEMBER-014501,MEMBER-014360,1825194.27,81036.44,Y,81036.44,,,No,5,1330250.66,No,9570951609,Rural,1979154.69,2024-02-15,2024-02-14,DIR,POL-21043,UIN-266,Plan C,IND_HEALTH
POL-29772,POL-35402,Y,N,XP,S,I,,2023-11-27,2023-12-01,2024-11-29,,AG1130,SM1026,MEMBER-000702,MEMBER-008326,MEMBER-011934,MEMBER-007833,MEMBER-005687,1472375.12,132082.61,H,132082.61,,,No,5,842903.18,No,9174990614,Rural,1671766.88,2023-12-01,2023-11-30,IOC,POL-35402,UIN-575,Plan B,TERM_LIFE
POL-39342,POL-33836,Y,N,IF,S,I,,2023-10-19,2023-10-19,2024-10-17,,AG1169,SM1020,MEMBER-011959,MEMBER-007467,MEMBER-006176,MEMBER-008995,,1066617.86,57977.2,Y,57977.2,,,No,4,820104.79,No,9781183424,Rural,1154916.13,2023-10-19,2023-10-18,SPP,POL-33836,UIN-949,Plan B,PERSONAL_ACCIDENT
POL-39590,POL-22242,Y,N,IF,U,I,,2024-05-27,2024-06-01,2025-05-31,,AG1192,SM1037,MEMBER-013521,,,,,1360637.96,115487.94,Y,115487.94,,,No,1,833459.63,No,9023236788,Urban,1267034.78,2024-06-01,2024-05-31,IND,POL-22242,UIN-680,Plan A,CRITICAL_ILLNESS
POL-23917,,N,N,IF,U,I,,2024-05-12,2024-05-12,2025-05-11,,AG1076,SM1024,MEMBER-008069,MEMBER-012734,MEMBER-009119,MEMBER-000270,MEMBER-013997,1218674.59,51009.47,H,51009.47,,2024-08-22,Yes,5,806734.31,No,9327618295,Rural,,,,IND,POL-23917,UIN-559,Plan C,FAMILY_HEALTH_OPTIMA
POL-29277,POL-24356,N,Y,XP,S,I,,2024-04-22,2024-04-25,2025-04-24,,AG1026,SM1010,MEMBER-013306,MEMBER-011580,MEMBER-006185,MEMBER-009718,MEMBER-012777,1095835.02,95525.45,Y,95525.45,2024-04-25,,No,5,600404.43,No,9159538287,Rural,974722.34,,2024-04-24,IND,POL-24356,UIN-420,Plan C,GROUP_HEALTH
POL-36761,,N,N,IF,S,I,,2024-05-16,2024-05-20,2025-05-19,,AG1122,SM1033,MEMBER-012224,,,,,286015.27,4803.15,Y,4803.15,,,No,1,211585.03,No,9636085110,Urban,,,,ORG,POL-36761,UIN-208,Plan C,GROUP_HEALTH
POL-44418,POL-20452,Y,N,IF,S,I,,2024-04-25,2024-04-25,2025-04-24,,AG1032,SM1046,MEMBER-005512,MEMBER-014961,MEMBER-006431,,,1475111.61,99877.62,H,99877.62,,2024-11-24,Yes,3,867882.04,No,9908157542,Rural,1380046.82,2024-04-25,2024-04-24,ORG,POL-20452,UIN-638,Plan C,FAMILY_HEALTH_OPTIMA
POL-23023,,N,N,IF,U,I,,2023-09-07,2023-09-08,2024-09-06,,AG1019,SM1003,MEMBER-012099,MEMBER-012425,,,,804911.96,12052.44,M,7030.59,,,No,2,591662.73,No,9791225526,Urban,,,,IND,POL-23023,UIN-936,Plan C,CRITICAL_ILLNESS
POL-17366,,N,N,IF,S,G,E,2023-05-17,2023-05-21,2024-05-19,,AG1190,SM1046,MEMBER-009966,MEMBER-014701,MEMBER-010896,MEMBER-006126,MEMBER-012118,6596384.04,291047.45,Y,291047.45,,2024-02-12,Yes,5,3780252.07,No,9690276986,Urban,,,,IND,POL-17366,UIN-149,Plan A,IND_HEALTH
POL-33967,POL-29783,N,Y,XP,S,I,,2023-05-23,2023-05-23,2024-05-21,,AG1074,SM1014,MEMBER-001684,MEMBER-012874,MEMBER-012689,,,1498913.96,106212.83,Y,106212.83,2023-05-23,,No,3,1121246.43,No,9196397699,Urban,1579613.94,,2023-05-22,SPP,POL-29783,UIN-793,Plan C,PERSONAL_ACCIDENT
POL-13035,,N,N,IF,S,G,E,2024-08-02,2024-08-07,2025-08-06,,AG1164,SM1008,MEMBER-013953,MEMBER-004245,MEMBER-000237,,,2413515.8,224858.62,H,224858.62,,,No,3,1894045.04,No,9665719954,Urban,,,,ORG,POL-13035,UIN-551,Plan A,FAMILY_HEALTH_OPTIMA
POL-29545,,N,N,IF,S,G,E,2023-11-17,2023-11-20,2024-11-18,,AG1132,SM1048,MEMBER-011877,MEMBER-007638,MEMBER-007596,MEMBER-009005,,1276635.55,89667.93,H,89667.93,,,No,4,685588.93,No,9551863046,Rural,,,,IND,POL-29545,UIN-417,Plan C,CRITICAL_ILLNESS
POL-32513,POL-42666,Y,N,IF,S,I,,2023-02-07,2023-02-11,2024-02-10,,AG1116,SM1039,MEMBER-014667,,,,,612206.7,46567.06,Q,23283.53,,,No,1,442876.48,No,9211444872,Urban,446308.38,2023-02-11,2023-02-10,IND,POL-42666,UIN-740,Plan A,GROUP_HEALTH
POL-37002,POL-39911,Y,N,IF,S,I,,2024-07-27,2024-07-27,2025-07-26,,AG1113,SM1007,MEMBER-001315,MEMBER-004393,,,,322807.17,8993.53,H,8993.53,,,No,2,251057.82,No,9841837504,Urban,241232.39,2024-07-27,2024-07-26,DIR,POL-39911,UIN-220,Plan C,FAMILY_HEALTH_OPTIMA
POL-13841,,N,N,IF,S,I,,2023-05-06,2023-05-06,2024-05-04,,AG1177,SM1035,MEMBER-013748,MEMBER-002379,MEMBER-001174,MEMBER-014898,,2063394.41,133437.59,H,133437.59,,,No,4,1268324.52,No,9812650162,Rural,,,,IND,POL-13841,UIN-651,Plan B,IND_HEALTH
POL-32736,POL-26499,Y,N,IF,S,I,,2023-10-26,2023-10-30,2024-10-28,,AG1041,SM1032,MEMBER-008766,MEMBER-011661,MEMBER-001517,MEMBER-003592,,1999505.73,88732.29,H,88732.29,,,No,4,1080670.46,No,9902493786,Urban,1890131.65,2023-10-30,2023-10-29,IND,POL-26499,UIN-235,Plan B,FAMILY_HEALTH_OPTIMA
POL-36446,POL-34145,N,Y,XP,S,G,E,2024-03-24,2024-03-26,2025-03-25,,AG1094,SM1046,MEMBER-012443,MEMBER-006384,,,,2413427.01,186907.43,M,155756.19,2024-03-26,,No,2,1605121.02,No,9262946845,Rural,2226989.18,,2024-03-25,IND,POL-34145,UIN-668,Plan C,IND_HEALTH
POL-42292,POL-18037,Y,N,IF,S,I,,2024-01-01,2024-01-05,2025-01-03,,AG1056,SM1029,MEMBER-003886,MEMBER-014387,MEMBER-008864,MEMBER-001200,,989814.06,64058.9,Y,64058.9,,,No,4,585595.32,No,9553666821,Rural,1166716.83,2024-01-05,2024-01-04,IND,POL-18037,UIN-565,Plan A,GROUP_HEALTH
POL-22282,,N,N,IF,S,I,,2023-07-18,2023-07-23,2024-07-21,,AG1000,SM1019,MEMBER-004292,,,,,905907.42,15669.99,Y,15669.99,,,No,1,656533.69,No,9735552752,Urban,,,,IND,POL-22282,UIN-788,Plan A,GROUP_HEALTH
POL-16589,,N,N,IF,S,I,,2023-01-21,2023-01-25,2024-01-24,,AG1001,SM1002,MEMBER-008921,MEMBER-011138,MEMBER-004294,MEMBER-012306,,1060863.87,57562.91,Y,57562.91,,2023-03-08,Yes,4,790548.1,No,9216137829,Urban,,,,IND,POL-16589,UIN-834,Plan A,CRITICAL_ILLNESS
POL-39581,POL-23561,Y,N,IF,U,I,,2023-04-15,2023-04-15,2024-04-13,,AG1090,SM1042,MEMBER-014926,MEMBER-003072,MEMBER-008339,,,771423.3,51645.66,M,12911.42,,,No,3,530549.54,No,9490990539,Urban,585397.29,2023-04-15,2023-04-14,IND,POL-23561,UIN-774,Plan B,TERM_LIFE
POL-14410,POL-47406,Y,N,IF,U,I,,2024-02-05,2024-02-09,2025-02-07,,AG1088,SM1005,MEMBER-005662,MEMBER-002223,,,,1544572.67,153688.62,H,76844.31,,,No,2,809878.56,No,9188092512,Urban,1500279.98,2024-02-09,2024-02-08,ORG,POL-47406,UIN-861,Plan A,IND_HEALTH
POL-27083,POL-10523,N,Y,IF,S,I,,2024-04-11,2024-04-15,2025-04-14,,AG1132,SM1028,MEMBER-007448,MEMBER-012074,MEMBER-014448,,,789430.91,23739.18,H,11869.59,2024-04-15,2024-07-21,Yes,3,557840.89,No,9424986995,Urban,933440.5,,2024-04-14,ORG,POL-10523,UIN-444,Plan A,IND_HEALTH
POL-45197,,N,N,IF,S,I,,2023-05-06,2023-05-08,2024-05-06,,AG1150,SM1009,MEMBER-008185,,,,,2097953.19,188520.9,Y,188520.9,,,No,1,1318627.05,No,9690890996,Rural,,,,IND,POL-45197,UIN-230,Plan C,FAMILY_HEALTH_OPTIMA
POL-19221,,N,N,IF,S,I,,2023-10-25,2023-10-25,2024-10-23,,AG1168,SM1039,MEMBER-005589,MEMBER-006177,,,,1155734.69,107122.98,Y,107122.98,,,No,2,581442.07,No,9883159856,Urban,,,,IND,POL-19221,UIN-710,Plan C,CRITICAL_ILLNESS
POL-29185,POL-39056,N,Y,IF,S,I,,2024-02-04,2024-02-07,2025-02-05,,AG1183,SM1001,MEMBER-012724,MEMBER-006315,,,,644130.49,33708.43,H,33708.43,2024-02-07,,No,2,370223.67,No,9539884006,Rural,480379.9,,2024-02-06,IND,POL-39056,UIN-872,Plan C,FAMILY_HEALTH_OPTIMA
POL-37245,,N,N,IF,S,I,,2023-01-05,2023-01-08,2024-01-07,,AG1040,SM1002,MEMBER-009813,MEMBER-006952,MEMBER-012704,MEMBER-002703,,154003.81,6696.4,Y,6696.4,,,No,4,117752.81,No,9446044621,Urban,,,,IND,POL-37245,UIN-235,Plan A,FAMILY_HEALTH_OPTIMA
POL-40800,,N,N,IF,U,I,,2023-03-12,2023-03-12,2024-03-10,,AG1030,SM1023,MEMBER-004863,MEMBER-000855,MEMBER-006394,MEMBER-010598,,1303798.51,45475.36,Y,45475.36,,,No,4,1017690.95,No,9726681555,Rural,,,,IOC,POL-40800,UIN-576,Plan A,IND_HEALTH
POL-44573,,N,N,IF,S,I,,2023-07-19,2023-07-20,2024-07-18,,AG1004,SM1033,MEMBER-007343,MEMBER-004218,MEMBER-010946,,,1052056.28,59838.65,Y,59838.65,,,No,3,642475.2,No,9246951614,Rural,,,,DIR,POL-44573,UIN-213,Plan A,FAMILY_HEALTH_OPTIMA
POL-17908,,N,N,CP,U,I,,2023-10-28,2023-10-29,2024-10-27,2024-10-06,AG1165,SM1037,MEMBER-008467,MEMBER-008443,,,,980768.82,57841.49,Q,57841.49,,,No,2,684775.37,No,9293166579,Urban,,,,ORG,POL-17908,UIN-776,Plan A,GROUP_HEALTH
POL-44945,POL-30695,Y,N,IF,S,I,,2024-05-23,2024-05-28,2025-05-27,,AG1129,SM1019,MEMBER-009357,,,,,2081490.88,70046.38,H,35023.19,,,No,1,1475196.65,No,9972721211,Rural,2382447.35,2024-05-28,2024-05-27,IND,POL-30695,UIN-327,Plan B,GROUP_HEALTH
POL-24050,POL-12327,N,Y,IF,U,I,,2023-08-05,2023-08-09,2024-08-07,,AG1117,SM1029,MEMBER-002889,,,,,1993451.19,187866.49,Q,140899.87,2023-08-09,,No,1,1389622.35,No,9508343070,Urban,1497244.23,,2023-08-08,IND,POL-12327,UIN-585,Plan A,GROUP_HEALTH
POL-39741,POL-44764,Y,N,IF,S,I,,2023-08-23,2023-08-26,2024-08-24,,AG1136,SM1022,MEMBER-003340,MEMBER-012501,MEMBER-014069,MEMBER-000935,,1706778.88,155692.65,Y,155692.65,,,No,4,1181971.68,No,9758284139,Rural,1485364.63,2023-08-26,2023-08-25,IND,POL-44764,UIN-599,Plan C,TERM_LIFE
POL-16495,,N,N,IF,U,I,,2024-03-09,2024-03-10,2025-03-09,,AG1181,SM1001,MEMBER-012932,,,,,668081.16,25039.67,Y,25039.67,,,No,1,407329.87,No,9395183938,Rural,,,,IND,POL-16495,UIN-379,Plan B,TERM_LIFE
POL-49597,,N,N,IF,S,I,,2023-05-17,2023-05-21,2024-05-19,,AG1101,SM1027,MEMBER-004096,MEMBER-010702,MEMBER-002178,,,2367873.04,224360.55,Y,224360.55,,,No,3,1486516.09,No,9426677348,Rural,,,,IOC,POL-49597,UIN-531,Plan A,IND_HEALTH
POL-19245,,N,N,CP,S,I,,2024-02-29,2024-03-04,2025-03-03,2024-04-10,AG1088,SM1023,MEMBER-010199,,,,,818285.37,43032.82,H,21516.41,,,No,1,507114.39,No,9730705080,Urban,,,,IND,POL-19245,UIN-945,Plan B,CRITICAL_ILLNESS
POL-15234,,N,N,IF,S,I,,2023-05-26,2023-05-26,2024-05-24,,AG1072,SM1025,MEMBER-001691,MEMBER-005239,MEMBER-001688,MEMBER-011602,,1622720.96,99446.35,Q,74584.76,,,No,4,1006608.89,No,9339373837,Rural,,,,IOC,POL-15234,UIN-249,Plan A,PERSONAL_ACCIDENT
POL-20826,,N,N,XP,U,I,,2023-02-18,2023-02-18,2024-02-17,,AG1085,SM1040,MEMBER-009914,,,,,1923400.94,111434.78,H,55717.39,,,No,1,1485204.07,No,9007088461,Rural,,,,DIR,POL-20826,UIN-201,Plan C,IND_HEALTH
POL-48731,,N,N,IF,S,I,,2024-03-02,2024-03-02,2025-03-01,,AG1030,SM1043,MEMBER-013037,MEMBER-013374,,,,2144903.27,170479.18,Y,170479.18,,2025-01-17,Yes,2,1366708.43,No,9585841389,Rural,,,,SPP,POL-48731,UIN-171,Plan A,CRITICAL_ILLNESS
POL-25366,POL-46916,Y,N,IF,S,I,,2024-05-02,2024-05-05,2025-05-04,,AG1043,SM1018,MEMBER-006120,MEMBER-006867,MEMBER-001009,MEMBER-012970,,570762.44,43118.51,Q,21559.26,,,No,4,442528.5,No,9354345811,Rural,415819.88,2024-05-05,2024-05-04,IOC,POL-46916,UIN-477,Plan B,FAMILY_HEALTH_OPTIMA
POL-20153,,N,N,IF,S,I,,2023-11-06,2023-11-08,2024-11-06,,AG1098,SM1030,MEMBER-008530,MEMBER-008085,MEMBER-005998,MEMBER-014692,MEMBER-014044,321762.73,20336.39,H,10168.19,,,No,5,168237.76,Yes,9736218944,Urban,,,,IOC,POL-20153,UIN-104,Plan C,CRITICAL_ILLNESS
POL-27390,POL-20406,N,Y,IF,S,I,,2023-09-02,2023-09-05,2024-09-03,,AG1001,SM1022,MEMBER-001847,MEMBER-001378,MEMBER-003213,,,1878238.96,109144.46,H,109144.46,2023-09-05,,No,3,987267.13,No,9634338909,Rural,2120683.78,,2023-09-04,IND,POL-20406,UIN-495,Plan B,IND_HEALTH
POL-33487,,N,N,IF,S,I,,2023-10-07,2023-10-10,2024-10-08,,AG1192,SM1024,MEMBER-005508,MEMBER-003834,MEMBER-003416,MEMBER-001693,,576568.71,45187.9,Y,45187.9,,,No,4,369995.33,No,9011595047,Urban,,,,IND,POL-33487,UIN-231,Plan C,FAMILY_HEALTH_OPTIMA
POL-42413,,N,N,XP,S,I,,2024-07-12,2024-07-15,2025-07-14,,AG1062,SM1009,MEMBER-002161,MEMBER-001056,,,,1983303.68,90947.29,Y,90947.29,,,No,2,1438505.7,No,9812482736,Urban,,,,DIR,POL-42413,UIN-840,Plan A,FAMILY_HEALTH_OPTIMA
POL-33845,,N,N,IF,S,G,E,2023-05-13,2023-05-14,2024-05-12,,AG1125,SM1034,MEMBER-000521,MEMBER-002471,,,,8070836.24,613317.36,Y,613317.36,,,No,2,5994225.42,No,9281868186,Urban,,,,IND,POL-33845,UIN-751,Plan B,TERM_LIFE
POL-14334,,N,N,IF,S,I,,2023-11-05,2023-11-09,2024-11-07,,AG1027,SM1004,MEMBER-009474,MEMBER-003587,MEMBER-004664,MEMBER-009502,MEMBER-001501,643287.73,9354.77,Y,9354.77,,,No,5,509949.33,No,9442596852,Urban,,,,IND,POL-14334,UIN-694,Plan B,GROUP_HEALTH
POL-28252,,N,N,IF,S,G,E,2023-09-06,2023-09-07,2024-09-05,,AG1053,SM1026,MEMBER-000734,MEMBER-014591,MEMBER-003421,,,3758606.82,154628.83,M,25771.47,,,No,3,2896954.93,No,9642334720,Rural,,,,IND,POL-28252,UIN-557,Plan C,TERM_LIFE
POL-22329,,N,N,IF,S,I,,2023-05-22,2023-05-24,2024-05-22,,AG1105,SM1011,MEMBER-014242,,,,,2210830.04,71609.49,Y,71609.49,,,No,1,1534420.05,No,9213162291,Rural,,,,IND,POL-22329,UIN-393,Plan B,IND_HEALTH
POL-19396,POL-23769,Y,N,IF,S,I,,2023-12-04,2023-12-09,2024-12-07,,AG1154,SM1017,MEMBER-013180,MEMBER-007994,,,,1704657.88,72044.24,Q,54033.18,,,No,2,1292668.76,No,9514257127,Urban,1447285.3,2023-12-09,2023-12-08,IND,POL-23769,UIN-129,Plan A,FAMILY_HEALTH_OPTIMA
POL-10969,,N,N,IF,S,I,,2023-12-21,2023-12-23,2024-12-21,,AG1104,SM1048,MEMBER-009245,MEMBER-007021,,,,2449831.31,100892.14,Y,100892.14,,,No,2,1741319.04,No,9242088079,Rural,,,,DIR,POL-10969,UIN-163,Plan B,IND_HEALTH
POL-47090,,N,N,IF,S,I,,2023-12-20,2023-12-25,2024-12-23,,AG1010,SM1012,MEMBER-001700,MEMBER-003210,MEMBER-003994,MEMBER-003685,MEMBER-007358,1119826.57,43226.63,Q,43226.63,,,No,5,818019.55,No,9294898342,Rural,,,,IND,POL-47090,UIN-379,Plan A,FAMILY_HEALTH_OPTIMA
POL-19460,,N,N,IF,S,I,,2023-07-09,2023-07-11,2024-07-09,,AG1171,SM1019,MEMBER-005412,MEMBER-006433,MEMBER-012945,,,198216.08,10037.46,Q,7528.09,,,No,3,154383.49,No,9240698896,Urban,,,,IOC,POL-19460,UIN-797,Plan A,IND_HEALTH
POL-25433,,N,N,IF,S,I,,2024-07-17,2024-07-22,2025-07-21,,AG1107,SM1017,MEMBER-014920,MEMBER-003235,MEMBER-004155,MEMBER-002427,MEMBER-014576,1021376.27,86481.27,Y,86481.27,,2024-09-08,Yes,5,721742.85,No,9987481568,Urban,,,,IND,POL-25433,UIN-240,Plan C,PERSONAL_ACCIDENT
POL-45330,,N,N,IF,S,I,,2024-03-05,2024-03-08,2025-03-07,,AG1180,SM1047,MEMBER-014596,MEMBER-013315,MEMBER-010066,MEMBER-009372,MEMBER-011142,763304.71,43180.28,M,25188.5,,,No,5,501365.6,No,9357868493,Rural,,,,ORG,POL-45330,UIN-978,Plan A,CRITICAL_ILLNESS
POL-27320,,N,N,IF,U,I,,2024-07-29,2024-07-29,2025-07-28,,AG1178,SM1001,MEMBER-003072,MEMBER-002042,MEMBER-012864,,,636617.34,20436.83,H,20436.83,,,No,3,365188.78,No,9856599320,Urban,,,,IND,POL-27320,UIN-760,Plan A,GROUP_HEALTH
POL-45612,,N,N,XP,S,I,,2024-01-26,2024-01-28,2025-01-26,,AG1185,SM1002,MEMBER-003156,MEMBER-010897,MEMBER-001544,MEMBER-012888,,676067.11,12676.59,Y,12676.59,,,No,4,409162.51,No,9899800920,Urban,,,,ORG,POL-45612,UIN-641,Plan C,IND_HEALTH
POL-41226,,N,N,IF,S,I,,2023-03-12,2023-03-17,2024-03-15,,AG1190,SM1013,MEMBER-011386,MEMBER-005585,MEMBER-001631,,,1393829.72,69473.02,H,34736.51,,,No,3,1002476.15,No,9270695915,Urban,,,,IND,POL-41226,UIN-611,Plan C,GROUP_HEALTH
POL-28785,,N,N,IF,S,I,,2023-07-29,2023-07-31,2024-07-29,,AG1088,SM1046,MEMBER-005188,MEMBER-010412,MEMBER-000010,MEMBER-007369,MEMBER-002791,987644.14,12337.33,Q,12337.33,,,No,5,612893.08,No,9267047073,Urban,,,,SPP,POL-28785,UIN-940,Plan B,GROUP_HEALTH
POL-17317,,N,N,XP,S,I,,2023-11-17,2023-11-17,2024-11-15,,AG1097,SM1045,MEMBER-009957,MEMBER-014341,MEMBER-009237,,,1421227.89,99930.84,H,99930.84,,2024-09-30,Yes,3,738757.86,No,9360250278,Rural,,,,IND,POL-17317,UIN-710,Plan C,PERSONAL_ACCIDENT
POL-49664,,N,N,IF,S,I,,2024-06-04,2024-06-09,2025-06-08,,AG1122,SM1001,MEMBER-003534,MEMBER-012918,MEMBER-006767,,,609582.19,16776.3,Q,8388.15,,2024-11-05,Yes,3,379711.37,No,9935413787,Rural,,,,IND,POL-49664,UIN-213,Plan C,CRITICAL_ILLNESS
POL-23857,POL-11763,Y,N,IF,S,I,,2024-03-27,2024-03-27,2025-03-26,,AG1073,SM1029,MEMBER-006840,,,,,394649.14,29435.72,Q,7358.93,,,No,1,254191.05,No,9379313112,Rural,351473.35,2024-03-27,2024-03-26,DIR,POL-11763,UIN-327,Plan C,FAMILY_HEALTH_OPTIMA
POL-33244,,N,N,IF,S,I,,2023-05-19,2023-05-24,2024-05-22,,AG1194,SM1047,MEMBER-012652,,,,,2268734.12,69735.85,H,69735.85,,,No,1,1606309.09,No,9373855421,Urban,,,,IND,POL-33244,UIN-374,Plan A,PERSONAL_ACCIDENT
POL-35568,,N,N,XP,S,G,E,2023-01-21,2023-01-23,2024-01-22,,AG1120,SM1024,MEMBER-006312,MEMBER-013557,MEMBER-006084,MEMBER-004666,MEMBER-003166,2663955.08,130740.73,Q,65370.36,,,No,5,1978901.89,No,9717886107,Rural,,,,DIR,POL-35568,UIN-498,Plan A,TERM_LIFE
POL-35531,,N,N,IF,S,I,,2023-08-21,2023-08-23,2024-08-21,,AG1146,SM1010,MEMBER-005712,MEMBER-008298,MEMBER-006029,MEMBER-006338,MEMBER-012539,1387539.4,120885.31,Y,120885.31,,,No,5,1071445.58,No,9765086951,Rural,,,,IND,POL-35531,UIN-636,Plan A,IND_HEALTH
POL-21140,,N,N,IF,S,I,,2023-02-11,2023-02-11,2024-02-10,,AG1129,SM1002,MEMBER-012345,,,,,2171771.42,178583.4,Q,89291.7,,,No,1,1441566.0,No,9029046000,Rural,,,,IND,POL-21140,UIN-795,Plan A,FAMILY_HEALTH_OPTIMA
POL-46751,,N,N,CP,S,I,,2023-01-30,2023-02-01,2024-01-31,2023-07-15,AG1008,SM1008,MEMBER-010064,MEMBER-004994,MEMBER-013425,MEMBER-014826,MEMBER-013449,2079784.16,72333.11,M,18083.28,,,No,5,1133564.82,No,9679652702,Urban,,,,DIR,POL-46751,UIN-204,Plan C,PERSONAL_ACCIDENT
POL-45216,,N,N,IF,S,I,,2024-04-18,2024-04-18,2025-04-17,,AG1000,SM1013,MEMBER-005601,MEMBER-011768,MEMBER-009551,,,567025.5,29854.69,Y,29854.69,,,No,3,296444.25,No,9134428569,Rural,,,,IND,POL-45216,UIN-622,Plan C,IND_HEALTH
POL-38328,,N,N,IF,U,I,,2024-06-14,2024-06-17,2025-06-16,,AG1159,SM1021,MEMBER-010394,,,,,1565367.35,152790.99,M,114593.24,,,No,1,891656.0,No,9847240551,Rural,,,,ORG,POL-38328,UIN-900,Plan B,TERM_LIFE
